Order,Title,Status,Movie ID,Date,Room ID,City ID,Venue ID,Address
1,Behind the Mask - 1,publish,3078,05-03-2026 10:30,4372|830,21,58,
2,Behind the Mask - 2,publish,3078,05-03-2026 08:30,4372|830,21,51,
3,Behind the Mask - 3,publish,3078,05-03-2026 07:30,4372|830,21,59,
4,Behind the Mask - 4,publish,3078,05-03-2026 11:30,4372|830,21,58,
5,Behind the Mask - 5,publish,3078,05-03-2026 14:30,4372|830,21,51,
6,Behind the Mask - 6,publish,3078,05-03-2026 15:30,4372|830,22,52,
7,Behind the Mask - 7,publish,3078,05-03-2026 17:30,4372|830,22,60,
8,Behind the Mask - 8,publish,3078,05-03-2026 16:30,4372|830,22,52,
9,Behind the Mask - 9,publish,3078,06-03-2026 09:30,4372|830,22,60,
10,Behind the Mask - 10,publish,3078,07-03-2026 09:30,4372|830,22,60,
11,Behind the Mask - 11,publish,3078,08-03-2026 09:30,4372|830,22,60,
12,Behind the Mask - 12,publish,3078,09-03-2026 09:30,4372|830,22,52,
13,Behind the Mask - 13,publish,3078,10-03-2026 09:30,4372|830,22,52,
14,Behind the Mask - 14,publish,3078,10-03-2026 07:30,4372|830,23,61,
15,Behind the Mask - 15,publish,3078,10-03-2026 10:30,4372|830,23,57,
16,Behind the Mask - 16,publish,3078,10-03-2026 17:30,4372|830,23,57,
17,Behind the Mask - 17,publish,3078,11-03-2026 09:30,4372|830,23,57,
18,Behind the Mask - 18,publish,3078,11-03-2026 20:30,4372|830,23,61,
19,Behind the Mask - 19,publish,3078,11-03-2026 21:30,4372|830,23,61,
20,Behind the Mask - 20,publish,3078,12-03-2026 09:30,4372|830,23,57,
21,Behind the Mask - 21,publish,3078,12-03-2026 09:30,4372|830,22,60,
22,Behind the Mask - 22,publish,3078,13-03-2026 09:30,4372|830,22,60,
23,Behind the Mask - 23,publish,3078,14-03-2026 09:30,4372|830,21,58,
24,Behind the Mask - 24,publish,3078,14-03-2026 10:30,4372|830,22,52,
25,Behind the Mask - 25,publish,3078,14-03-2026 11:30,4372|830,22,52,
26,Behind the Mask - 26,publish,3078,15-03-2026 11:30,4372|830,23,61,
27,Behind the Mask - 27,publish,3078,16-03-2026 11:30,4372|830,23,57,
28,Behind the Mask - 28,publish,3078,17-03-2026 11:30,4372|830,23,57,
29,Behind the Mask - 29,publish,3078,18-03-2026 11:30,4372|830,23,57,
30,Behind the Mask - 30,publish,3078,19-03-2026 11:30,4372|830,23,61,
31,Behind the Mask - 31,publish,3078,20-03-2026 11:30,4372|830,23,61,
32,Behind the Mask - 32,publish,3078,20-03-2026 10:30,4372|830,23,57,
33,Behind the Mask - 33,publish,3078,21-03-2026 10:30,4372|830,22,60,
34,Behind the Mask - 34,publish,3078,22-03-2026 10:30,4372|830,22,60,
