Order,Title,Status,Movie ID,Date,Room ID,City ID,Venue ID,Address
1,Wrong Turns Part 2 - 1,publish,842,05-03-2026 10:30,4372|830,21,58,
2,Wrong Turns Part 2 - 2,publish,842,05-03-2026 08:30,4372|830,21,51,
3,Wrong Turns Part 2 - 3,publish,842,05-03-2026 07:30,4372|830,21,59,
4,Wrong Turns Part 2 - 4,publish,842,05-03-2026 11:30,4372|830,21,58,
5,Wrong Turns Part 2 - 5,publish,842,05-03-2026 14:30,4372|830,21,51,
6,Wrong Turns Part 2 - 6,publish,842,05-03-2026 15:30,4372|830,22,52,
7,Wrong Turns Part 2 - 7,publish,842,05-03-2026 17:30,4372|830,22,60,
8,Wrong Turns Part 2 - 8,publish,842,05-03-2026 16:30,4372|830,22,52,
9,Wrong Turns Part 2 - 9,publish,842,06-03-2026 09:30,4372|830,22,60,
10,Wrong Turns Part 2 - 10,publish,842,07-03-2026 09:30,4372|830,22,60,
11,Wrong Turns Part 2 - 11,publish,842,08-03-2026 09:30,4372|830,22,60,
12,Wrong Turns Part 2 - 12,publish,842,09-03-2026 09:30,4372|830,22,52,
13,Wrong Turns Part 2 - 13,publish,842,10-03-2026 09:30,4372|830,22,52,
14,Wrong Turns Part 2 - 14,publish,842,10-03-2026 07:30,4372|830,23,61,
15,Wrong Turns Part 2 - 15,publish,842,10-03-2026 10:30,4372|830,23,57,
16,Wrong Turns Part 2 - 16,publish,842,10-03-2026 17:30,4372|830,23,57,
17,Wrong Turns Part 2 - 17,publish,842,11-03-2026 09:30,4372|830,23,57,
18,Wrong Turns Part 2 - 18,publish,842,11-03-2026 20:30,4372|830,23,61,
19,Wrong Turns Part 2 - 19,publish,842,11-03-2026 21:30,4372|830,23,61,
20,Wrong Turns Part 2 - 20,publish,842,12-03-2026 09:30,4372|830,23,57,
21,Wrong Turns Part 2 - 21,publish,842,12-03-2026 09:30,4372|830,22,60,
22,Wrong Turns Part 2 - 22,publish,842,13-03-2026 09:30,4372|830,22,60,
23,Wrong Turns Part 2 - 23,publish,842,14-03-2026 09:30,4372|830,21,58,
